id,A1_Núm. re,A1_Denomin,A1_Parròqu,A1_Poble/i,A1_Coord.,A1_Coord_1,A1_Protecc,A1_Cronolo,A1_Període,A1_Excavac,A1_Tipus,A1_Propiet,A1_Visitab,A1_Accés o,A1_Àrea,A1_Perímet,A1_Descrip,A1_Data ac,POLYGON
86,OR-020,Gravats de Sornàs,Ordino,Sornàs,1.527780886,42.56527846,EPA (BIC),Indeterminada,Indeterminat,No,gravats,Públic/Privat,,No,191,84,"Gravats de Sornàs, que són un conjunt de formes, linies, punts... Estan realitzats en un aflorament de penya natural a la part alta del poble",07/03/2017,"<MultiGeometry><Polygon><altitudeMode>clampToGround</altitudeMode><outerBoundaryIs><LinearRing><altitudeMode>clampToGround</altitudeMode><coordinates>1.52757041439692,42.5652952102839 1.52763249017391,42.5652933363614 1.5276608528551,42.5652920757298 1.52768072388392,42.5652911853079 1.52774559189336,42.5652879852357 1.52775166503602,42.5652878566721 1.52777606607942,42.5652873401179 1.5278004671224,42.5652868235586 1.52782486816496,42.5652863069939 1.52784431894247,42.5652858955677 1.52794338874634,42.5652873274897 1.52797960833078,42.5652876450237 1.52798085826574,42.5652427644407 1.52792315516202,42.5652373325545 1.52791594695277,42.5652093489496 1.52789067484771,42.5652094827734 1.52781463277356,42.5652078493653 1.5278164924181,42.5652446838197 1.52778312435684,42.5652478521656 1.52773678902649,42.56524734394 1.52769570807411,42.5652500061019 1.52766303620156,42.5652539265179 1.52763262583322,42.565252970241 1.52759497809406,42.565251640035 1.52757159251575,42.5652494626989 1.52757041439692,42.5652952102839</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
108,SJ-478,EPA del nucli d'Aixirivall,Sant Julià de Lòria,Aixirivall,1.501661894,42.46274911,EPA,IX –  XX dC,"Edat Mitjana, Època Moderna, Època Contemporània",No,hàbitat,Privat,,Sí,17636,590,"EPA del nucli antic d'Aixirivall, amb referíncies documentals des de l'Edat Mitjana (1176 dC)",07/03/2017,"<MultiGeometry><Polygon><altitudeMode>clampToGround</altitudeMode><outerBoundaryIs><LinearRing><altitudeMode>clampToGround</altitudeMode><coordinates>1.50068751847291,42.4626777403326 1.50068903427095,42.462682431863 1.50069873099586,42.4626933051702 1.5007279987348,42.4627041459093 1.50076273348081,42.4627152078282 1.50077322251402,42.4627214969888 1.50077828533372,42.4627245951991 1.50078817159452,42.462730519809 1.50081782341266,42.4627576538033 1.50083763223262,42.462775713436 1.50089036721683,42.4628214717158 1.50092711764689,42.4628362388521 1.50095186937504,42.4628395753423 1.50097642991029,42.4628391302977 1.50097989043859,42.46284383647 1.5010393951715,42.4629188963548 1.50109752723821,42.4629965559342 1.50114056746826,42.4630401710445 1.50118216479264,42.4630737850373 1.5011836966966,42.4630773066546 1.50118575331154,42.4631045927863 1.50118319715243,42.4631712651245 1.50118272653399,42.4631834118698 1.50120031913858,42.4632212552226 1.50121951679289,42.4632395801928 1.50125523343953,42.4632588395437 1.50132301180795,42.4632979607121 1.50137070713329,42.4633212702937 1.50140302009215,42.4633316837659 1.50140894986316,42.4633336184453 1.50146365110996,42.4633513105861 1.50148010961429,42.4633566545863 1.50153490651834,42.4633762374569 1.50158559067817,42.4633943493156 1.50166105212037,42.463422817841 1.50176359040265,42.4634623803012 1.50187349805936,42.4634964179733 1.50192492837088,42.46350445505 1.50196046156721,42.4635016622691 1.50202339737472,42.4634862052856 1.50210737464609,42.4634432758626 1.50215431383692,42.4634180083737 1.50216459092997,42.4634194055861 1.50216929546816,42.4634193869643 1.50221790193313,42.4634188254662 1.50224220707747,42.4634184052201 1.50229081736515,42.4634175647122 1.50231512553459,42.4634178104889 1.50235015596152,42.4634179928742 1.50236368522914,42.463417113572 1.50238746240406,42.46341353025 1.50240564885893,42.4634081048485 1.50242210269838,42.4634013793878 1.5024304165429,42.4633969957858 1.50244901515342,42.4633854443308 1.50246241847132,42.4633736400113 1.50246667787902,42.4633676756904 1.5024676695666,42.4633609509863 1.50246629309902,42.4633540644759 1.5024645828109,42.4633511355496 1.5024626826143,42.4633478721878 1.50245197148648,42.4633183871267 1.50243947135512,42.4632930997338 1.50243044647869,42.4632675813909 1.50242648474695,42.463252641216 1.50242447838507,42.4632413464643 1.50242772809508,42.4632348367413 1.50242861791822,42.463227562259 1.50242728260841,42.4632203340497 1.50242574174856,42.463217460398 1.50241154387837,42.463187073878 1.50236487653205,42.4631138063609 1.50236801290593,42.4630960545228 1.50236882789092,42.4630880324609 1.50237150412018,42.4630701511602 1.50237270065515,42.4630644450217 1.5023728248663,42.4630553827419 1.50239655486755,42.4630268504771 1.5024274121155,42.4630138872339 1.50246803431105,42.4629990641906 1.50249056290598,42.4629925553932 1.5025117873137,42.4629836427312 1.50253067465256,42.4629723004405 1.50254583596181,42.4629631981918 1.50255775359886,42.4629566186187 1.50257048436168,42.4629519082002 1.50259450612004,42.462950864734 1.50261225948726,42.4629521952043 1.50262600256501,42.4629525595075 1.50263258895975,42.4629518169936 1.50263889573235,42.4629501903569 1.50264182357489,42.4629485383235 1.50266001027626,42.462933823239 1.50268183067302,42.4629123928814 1.5026980223755,42.462896318806 1.50272267760726,42.4628656260963 1.50273155283332,42.4628413442564 1.50272618388314,42.4628074730268 1.50272760009622,42.4627750829108 1.50272489880942,42.4627593122406 1.5027260721311,42.462744650715 1.50271921032337,42.4627042782015 1.50271082977736,42.4626860347924 1.50269677931584,42.4626735089044 1.50267606206588,42.4626578368359 1.50264852817603,42.4626393099639 1.50264345335203,42.4626353072283 1.50262919405553,42.4626211687245 1.50258083175746,42.4625962696091 1.50253208321028,42.4625806247584 1.50244499326266,42.4625573876693 1.50242252106741,42.4625424743204 1.50239869521207,42.4625292358867 1.50236206323269,42.4625102490313 1.50231895657886,42.4624874063914 1.50230428201217,42.4624796278721 1.50228928082783,42.462472620913 1.50227529364377,42.4624670166093 1.50224629122944,42.4624572042987 1.50221792066174,42.4624465237117 1.50220338209991,42.4624394662185 1.50217549018388,42.4624240191084 1.50214720342166,42.4624090010319 1.50211604140885,42.462395347356 1.50206974939039,42.4623761077471 1.50204651121678,42.4623670047542 1.50202535785291,42.4623574494268 1.50201647238085,42.4623512264484 1.5020124520856,42.4623465611001 1.50200999679656,42.4623412325076 1.50200876261439,42.4623354990903 1.50200858135658,42.4623238964556 1.50200974737233,42.462315985041 1.50201482281805,42.4623004348533 1.50202042040207,42.4622849245936 1.50202262082458,42.4622795860195 1.50202792219625,42.4622688346428 1.50202783391176,42.4622584297356 1.50202366585806,42.462253016259 1.50201780965502,42.4622483821028 1.50201077701662,42.4622444411137 1.50199529129435,42.4622382044881 1.50198177660176,42.4622344937454 1.50196767523394,42.4622319036144 1.50193937156538,42.4622269925936 1.50192596873542,42.4622231026814 1.50191060296562,42.4622169839491 1.5018957452741,42.4622101580203 1.50186757325208,42.4621947627266 1.50185426848441,42.4621863824386 1.50184462807366,42.4621793707486 1.50182743421967,42.4621638510321 1.50181116046074,42.4621477172209 1.50178430478254,42.4621196595139 1.50177049921623,42.4621052543072 1.50175924596637,42.4620953054063 1.50173704664854,42.4620787129898 1.50171213144793,42.4620633871631 1.50169899811395,42.4620566911856 1.50168140769929,42.4620488186411 1.50164537928103,42.4620351265758 1.50160683463222,42.4620230568766 1.50158874897522,42.462018501668 1.5015418800908,42.4620094457344 1.50151471307712,42.462004093149 1.50147752095884,42.461994966015 1.50143795521365,42.461984308967 1.50140385671415,42.4619747370832 1.50135202539462,42.4619597035762 1.50133489331096,42.4619538684743 1.50130381945112,42.4619421570543 1.50128932715293,42.4619366950508 1.50124467809478,42.4619182414831 1.50122271228556,42.4619085628826 1.50118581819764,42.4618910136978 1.50109810290372,42.4619274250925 1.50107525687336,42.4619535336717 1.50105014586486,42.4620346983985 1.50104982943414,42.4620360765245 1.50103264532417,42.4620540691467 1.50103076664003,42.4620589871145 1.50102343332816,42.4620689851249 1.50102048371011,42.4620739940299 1.50095942720864,42.4621208753197 1.50092813692068,42.4621471277274 1.50087843176374,42.4621891436043 1.50087407948733,42.4621928642104 1.50086054549786,42.4622304011549 1.5008605454932,42.4622304012388 1.50085682573026,42.4622972958336 1.50084864584575,42.4624166528628 1.50079925602508,42.4624865045707 1.50078590481293,42.462503586403 1.5007346509879,42.462562218128 1.50069971338713,42.4626082727138 1.50069760331721,42.4626149803672 1.50068751847291,42.4626777403326</coordinates></LinearRing></outerBoundaryIs><innerBoundaryIs><LinearRing><altitudeMode>clampToGround</altitudeMode><coordinates>1.50197023960344,42.4628300088175 1.50196527451714,42.4628339810963 1.50195893900895,42.4628366809273 1.50195180592245,42.4628378641971 1.50194452021683,42.462837423917 1.50193774065079,42.4628353998962 1.50188735443562,42.4628133304904 1.50188136386365,42.4628096295544 1.50187726520488,42.4628047141534 1.50187548062445,42.4627990905783 1.5018761939351,42.4627933380623 1.50187933166454,42.4627880491196 1.50192018998728,42.4627415795881 1.50192595352726,42.4627347907379 1.50193090886549,42.4627305813986 1.50193736808864,42.4627276990721 1.50194470955496,42.4627264211563 1.50195222671498,42.4627268706386 1.50195919611039,42.4627290042607 1.5020106599418,42.4627522516227 1.50201660422929,42.462756032201 1.50202061532964,42.4627610165236 1.50202227646757,42.4627666866925 1.50202141504127,42.4627724535471 1.50201812055691,42.4627777178797 1.50197023960344,42.4628300088175</coordinates></LinearRing></innerBoundaryIs></Polygon></MultiGeometry>"
87,OR-365,EPA del nucli de Sornàs,Ordino,Sornàs,1.527566077,42.56504107,EPA,IX –  XX dC,"Edat Mitjana, Època Moderna, Època Contemporània",No,hàbitat,Privat,,Sí,22667,931,"EPA del nucli antic de Sornàs, amb referíncies documentals des de l'Edat Mitjana (1176 dC)",07/03/2017,"<MultiGeometry><Polygon><altitudeMode>clampToGround</altitudeMode><outerBoundaryIs><LinearRing><altitudeMode>clampToGround</altitudeMode><coordinates>1.52702025493128,42.5640367330283 1.52696993759821,42.5640500381891 1.52693514806948,42.5640612423381 1.52689773804673,42.5640772156331 1.52687961420136,42.5640840769516 1.52687339482148,42.5640897033925 1.52686172759465,42.5641025463998 1.52685238182279,42.5641140354836 1.52684677817391,42.5641231967564 1.52684015978099,42.5641291968486 1.52683429333701,42.5641354184305 1.52682941753756,42.5641422232601 1.52682196712692,42.5641567497326 1.52681773082522,42.5641767809089 1.52682333399234,42.5641830050568 1.52683259412026,42.5641907409272 1.52684359036869,42.5641942862277 1.5268515969253,42.5641955866286 1.52686026985082,42.5641971348966 1.52686324736965,42.5641993797062 1.5268645272134,42.5642038442628 1.52686137778964,42.5642519558201 1.52686038558972,42.5642606250425 1.52685254289934,42.5643000169534 1.52683208524059,42.5643732667174 1.52682472320864,42.5644122211072 1.5268192944301,42.5644586869738 1.52681867975868,42.5644819667079 1.52682134656626,42.564497475946 1.52682282570887,42.5645134805567 1.52682731081496,42.564536905455 1.52682749757617,42.5645448182281 1.52682286050299,42.5645693377209 1.52681928742734,42.5645935049476 1.52681106275186,42.5646341451419 1.52680835929425,42.5646515323511 1.52680713911746,42.5646690833762 1.52680615469631,42.5647082282452 1.5267999722413,42.5647491173328 1.52680143752861,42.5647743833271 1.52680443690235,42.564789606975 1.52680773410827,42.5648281620105 1.52681023839798,42.5648357676536 1.52681165805145,42.5648434463978 1.5268109347598,42.5648593449579 1.52680740094632,42.5648759970801 1.52680462904527,42.5648994321076 1.52680162114384,42.5649159080523 1.5267997285847,42.5649391424765 1.52679823881666,42.5649467730206 1.52679360518547,42.5649527605724 1.52678612342456,42.5649577553203 1.52676864085029,42.5649667274071 1.52676362085902,42.5649724691298 1.52676425681877,42.5649850474207 1.52676092995272,42.5650071823364 1.52676156447741,42.5650143873362 1.52676277871612,42.5650219475787 1.52676842830963,42.5650365695075 1.52676996305404,42.5650438350698 1.52676925828684,42.5650519483586 1.52676645758757,42.5650592723347 1.52676161451243,42.5650663564167 1.52676007963582,42.5650737166177 1.52676223439854,42.5650801406539 1.52676755324387,42.5650857777033 1.52677121217139,42.5650926267212 1.52677074520486,42.5650984286222 1.52676757877819,42.5651057859352 1.52676190559089,42.5651121169296 1.52674833577228,42.5651244206977 1.52672304746529,42.5651572051469 1.52671537723079,42.5651635485878 1.52669992077007,42.5651739755048 1.52667861471212,42.5651920911955 1.52666627776027,42.565204160926 1.52665692436322,42.5652180254908 1.52665065926394,42.5652240011479 1.5266221466499,42.5652465555439 1.52660932897634,42.565259062788 1.52659973721934,42.5652725385911 1.52659275123779,42.5652878334793 1.52658741057687,42.5652938788738 1.52658055357262,42.5652994991947 1.5265730266516,42.5653042235861 1.52655726049447,42.5653165695138 1.52653018196665,42.5653505787528 1.52652746653061,42.5653533311057 1.52652615299089,42.5653596128611 1.52653084908489,42.565372688773 1.52653198125329,42.5653809234561 1.52653184965324,42.5653971863488 1.52653023257167,42.5654052299843 1.52652528882357,42.5654207737667 1.52651665267697,42.5654438510316 1.52650947744043,42.5654578124663 1.5264684702557,42.5655215879185 1.52645038635201,42.5655592040773 1.52644560928974,42.5655668106558 1.52643529828603,42.5655803442068 1.52642666394075,42.5655941509932 1.52642100501469,42.5656085374982 1.52641567691034,42.5656318998854 1.52641407414847,42.565647999047 1.52641833760091,42.565667039124 1.5264178535551,42.5656741189671 1.52641891188987,42.5656814980689 1.52642227808052,42.5656874719198 1.52642413662726,42.5656914546763 1.52642601041521,42.5656942944839 1.52643649203737,42.5657054054701 1.52644344223373,42.5657110634281 1.52645880921295,42.5657210579635 1.52646328165262,42.5657271658836 1.52646896407589,42.565735233574 1.52647530092657,42.5657422701745 1.52648354761079,42.5657479226138 1.52649558040892,42.5657533230332 1.52651027579002,42.5657576243931 1.52652387373586,42.5657591215883 1.52653673011642,42.5657594949113 1.52654695746628,42.565758450989 1.52655404149131,42.5657564849288 1.52656294430649,42.5657508525177 1.52658020438005,42.5657439759477 1.52661540338958,42.5657258805192 1.5266235713768,42.5657205667649 1.52662797956922,42.5657168816962 1.52662891129998,42.5657118392216 1.52663226776458,42.5657084975065 1.52665030065791,42.5657021035831 1.52665877504348,42.5657002932428 1.52666801039539,42.5656980294235 1.52667713023537,42.5656952967371 1.52669609195861,42.5656877305133 1.52670614267029,42.5656854996339 1.52671645259309,42.5656839186766 1.52672688588326,42.5656831306588 1.5267530581674,42.5656845274356 1.5267601212715,42.5656817167521 1.52678814416178,42.5656705915877 1.52680144584082,42.5656659350302 1.52682004657467,42.5656610374646 1.52683826906766,42.56565613714 1.52685915785383,42.5656498581568 1.52688080311124,42.565643584681 1.526901706793,42.565636187333 1.52692642265423,42.5656265808226 1.52694467120946,42.5656197233561 1.52696290858322,42.5656137046544 1.52697888770516,42.5656068306499 1.52700130058681,42.5655997238938 1.52701383458243,42.5655959005682 1.52702941310361,42.5655907013367 1.5270469699178,42.5655860757456 1.52706274686566,42.565580178914 1.52707799172101,42.5655720666495 1.52709773232571,42.565554470506 1.52711235456383,42.5655445144815 1.52713082768484,42.565536143584 1.52714024135697,42.5655332869937 1.52717474665183,42.5655160593849 1.52720137068085,42.5655009074803 1.52721690528967,42.5654910120898 1.52722400060011,42.5654857804854 1.52723208646082,42.5654811411248 1.52724090822375,42.5654779291971 1.52726080412188,42.5654733488375 1.52727018484989,42.5654702219822 1.52727926113683,42.5654661838617 1.52728894618314,42.5654639772689 1.52729880427697,42.5654643190688 1.52730832592328,42.5654661524959 1.52731797940412,42.5654690579382 1.5273378238998,42.5654719925838 1.52734757171767,42.5654742146746 1.52739521414997,42.5654890433265 1.52741069643729,42.5654986155466 1.52742389009972,42.5655099801963 1.527431448324,42.565514787474 1.52745073467943,42.5655203191718 1.52745811584659,42.5655237930889 1.52746889763647,42.5655361482265 1.52747606950542,42.5655407096757 1.52748569007678,42.5655433448497 1.52750601437001,42.5655431687952 1.52751608201803,42.5655424050434 1.52754681121257,42.5655426557459 1.52758877668843,42.5655359482892 1.52763339484726,42.565535030982 1.52768056286089,42.5655421403664 1.52775066685328,42.5655689538484 1.52778068754448,42.5655785238176 1.52780780361306,42.5655895127162 1.52784357572843,42.5656079089821 1.52785137246567,42.5656130959865 1.5278652361732,42.565625356506 1.52787360793687,42.5656294226344 1.52790113875591,42.5656394424772 1.52795609834155,42.5656625775618 1.52797274744465,42.5656714021534 1.528007608086,42.5656924198721 1.52801601280016,42.5656967562436 1.5280438771837,42.5657091636026 1.52808751136146,42.5657305961428 1.52809688964666,42.5657340575444 1.52811666899944,42.5657391516896 1.52813494887646,42.5657452969791 1.52815571868118,42.5657509923532 1.52816575402276,42.5657526584344 1.52817601094904,42.565753228069 1.52818651009725,42.5657529804219 1.52820557587901,42.5657476468158 1.52821468507791,42.5657438788723 1.52822393854065,42.5657411650326 1.52823389100976,42.5657408234 1.52824125923074,42.5657416150306 1.52824947072518,42.5657458329729 1.52827929772683,42.5657672280164 1.52828762032105,42.5657722478056 1.52829731924465,42.5657754055063 1.5283070340933,42.5657773662594 1.52831753324514,42.5657771185998 1.52836849126932,42.5657724849276 1.52838958389419,42.5657713062462 1.52841048412477,42.5657726912957 1.52842016604306,42.5657743817854 1.52844942193753,42.5657810478603 1.52848670083043,42.5657932895527 1.52850533033014,42.5658006163849 1.52853269801187,42.5658146760959 1.52853865710976,42.5658170505446 1.52854337039023,42.5658169678071 1.52854607370051,42.5658142063166 1.52854174661273,42.56579990011 1.52854174587657,42.565797208964 1.52854539054281,42.565795993398 1.52855376225568,42.5658000684751 1.52857470779277,42.565816358602 1.52858919579557,42.5658265534613 1.52861322716553,42.5658415339459 1.52863143660969,42.5658603063015 1.52863533352671,42.5658648438669 1.52863657868775,42.5658792536717 1.52863972424876,42.5658862699047 1.52865967248805,42.5659217057668 1.52868211703681,42.5659488883394 1.52869449766917,42.565960984966 1.52870216726894,42.5659665850079 1.52871081042517,42.5659713100802 1.52872023401261,42.5659750327721 1.52873939337597,42.565980977344 1.52874744462748,42.5659853470925 1.52876407789875,42.5659953775131 1.52877771967598,42.5660060342214 1.52878457592449,42.5660123663844 1.52878971857487,42.5660193701276 1.52879166442554,42.5660268726624 1.52878731322987,42.566057415635 1.52878801399572,42.5660651521328 1.52879142874933,42.5660793976964 1.52879577419455,42.56608591862 1.52880211670853,42.5660924270575 1.52881911027627,42.5661129096351 1.52885510110248,42.5661606937014 1.52885952472652,42.5661677462187 1.52886624753276,42.5661822858364 1.52887107231771,42.5661976307024 1.52887761890706,42.5662135191095 1.52888295111168,42.5662364910619 1.52888609671953,42.5662435072887 1.52889010341923,42.5662581081701 1.5288970976555,42.5662732977927 1.52890439859677,42.5662828193471 1.52891050116103,42.566283565733 1.52893163144239,42.5662859784092 1.52893080487614,42.5661951936517 1.52891381125112,42.5661087646411 1.5288895293991,42.5659981254 1.52886770900408,42.5658992586595 1.5288610142489,42.5658743687059 1.52885102387226,42.5658500848329 1.52884256346054,42.5658343625254 1.52883270900102,42.5658190891093 1.52882727990601,42.5658116512639 1.52882181700969,42.5658049242097 1.52876008666379,42.5657296186186 1.52874534972396,42.5657070103245 1.52873080665094,42.5656734858677 1.52872300731193,42.5656510900082 1.52871606136044,42.5656177592623 1.52870846976553,42.5655823557518 1.52868895935086,42.565556121564 1.52868428568566,42.5655468171056 1.52868317224376,42.5655408146988 1.52868088488428,42.5655242012053 1.52868212398316,42.5655207540326 1.5286819104739,42.5655130030763 1.52868082715133,42.5655093140091 1.52868056337919,42.5655053428847 1.52868005299686,42.5655016039797 1.52867600818924,42.5654907920137 1.52866323286775,42.5654598545343 1.52864915995268,42.5654193671232 1.52864276981247,42.5654017967547 1.52862124023367,42.5653690045357 1.52860228312318,42.5653240623808 1.52859234564269,42.5653013089511 1.52858613879306,42.5652891851962 1.52857728961598,42.5652743240885 1.52856746888342,42.5652542109988 1.52855273968051,42.565230799262 1.52853940921234,42.5652081062736 1.52852072179068,42.5651739861794 1.52850746232536,42.5651470466083 1.52849307154692,42.5651202447631 1.52843182503366,42.5650132248636 1.52835682553828,42.5648929642317 1.52833183468886,42.5648576986596 1.52831500924654,42.5648365151974 1.5282461379945,42.5647690868077 1.52816158019128,42.5646845783875 1.52814593394223,42.56465280784 1.52812652040075,42.5646153654908 1.52810786012257,42.5645754008962 1.5280939096064,42.5645508006346 1.52808383830938,42.5645389793117 1.52800679744267,42.5644743084879 1.52791592131538,42.5643980163419 1.52783941908326,42.5643340693592 1.52777346211315,42.5642792085377 1.52775863539017,42.564264312864 1.52774061096223,42.564243588614 1.52771932405256,42.5642314768795 1.52768621857137,42.5642178143467 1.52764025332348,42.5642040581991 1.52760787455058,42.5641926378623 1.52757471699502,42.5641828895441 1.52755065183023,42.5641720889418 1.52752318762841,42.5641535949251 1.52748463902256,42.564115345925 1.52743394545818,42.5640704245328 1.52740544356651,42.5640426434412 1.52738650429189,42.5640266287175 1.52735426940487,42.564001444708 1.52734253974312,42.5639908017496 1.5273360505496,42.5639843641658 1.52732199969003,42.5639679080022 1.52731449025232,42.5639567107414 1.52731061947842,42.5639538834094 1.5273059274909,42.5639514641189 1.527295995846,42.5639475215957 1.52729061555459,42.563946501365 1.5272851631218,42.5639463266526 1.52727986794717,42.5639471431365 1.52726391472968,42.5639519322152 1.52722852168118,42.5639636630872 1.5272150817156,42.5639699015364 1.52719348478046,42.5639815618618 1.52716249681447,42.5639925687558 1.52714386259375,42.5640002724434 1.5271279935502,42.5640042250725 1.52709922001707,42.5640135199885 1.52708380202825,42.5640174308944 1.52706420490683,42.5640233814645 1.52705494416264,42.5640275712286 1.52705020085722,42.5640290037535 1.52703500805718,42.5640315482221 1.52702025493128,42.5640367330283 1.52702025493128,42.5640367330283</coordinates></LinearRing></outerBoundaryIs><innerBoundaryIs><LinearRing><altitudeMode>clampToGround</altitudeMode><coordinates>1.52774946331099,42.5651062880925 1.52771794326727,42.565029185681 1.52771690675784,42.5650236309403 1.52771823288532,42.5650181099656 1.52772179295784,42.5650131585283 1.52772724149519,42.5650092571301 1.52773404975543,42.5650067843738 1.52781076105751,42.5649892247083 1.52781832880348,42.5649884211657 1.52782586062656,42.5649893918154 1.52783261406327,42.5649920409735 1.52783792338082,42.5649961074946 1.52784126520291,42.5650011905136 1.52787271916739,42.5650777793811 1.52787376584744,42.5650833071484 1.52787247136664,42.5650888061597 1.52786896019654,42.5650937476517 1.52786356995693,42.5650976564702 1.52785681895184,42.5651001567583 1.52778017374346,42.5651182299648 1.52777256794136,42.5651190807186 1.52776498261608,42.5651181352832 1.52775817471857,42.5651154880055 1.52775282361895,42.5651114030611 1.52774946331099,42.5651062880925</coordinates></LinearRing></innerBoundaryIs><innerBoundaryIs><LinearRing><altitudeMode>clampToGround</altitudeMode><coordinates>1.52757041439692,42.5652952102839 1.52757159251575,42.5652494626989 1.52759497809406,42.565251640035 1.52763262583322,42.565252970241 1.52766303620156,42.5652539265179 1.52769570807411,42.5652500061019 1.52773678902649,42.56524734394 1.52778312435684,42.5652478521656 1.5278164924181,42.5652446838197 1.52781463277356,42.5652078493653 1.52789067484771,42.5652094827734 1.52791594695277,42.5652093489496 1.52792315516202,42.5652373325545 1.52798085826574,42.5652427644407 1.52797960833078,42.5652876450237 1.52794338874634,42.5652873274897 1.52784431894247,42.5652858955677 1.52782486816496,42.5652863069939 1.5278004671224,42.5652868235586 1.52777606607942,42.5652873401179 1.52775166503602,42.5652878566721 1.52774559189336,42.5652879852357 1.52768072388392,42.5652911853079 1.5276608528551,42.5652920757298 1.52763249017391,42.5652933363614 1.52757041439692,42.5652952102839</coordinates></LinearRing></innerBoundaryIs></Polygon></MultiGeometry>"
109,SJ-479,EPA de l'església de Sant Pere d'Aixirivall,Sant Julià de Lòria,Aixirivall,1.501933429,42.46280042,EPA (BIC),XVII dC,Època Moderna,No,església,Públic/Privat,Sí,Sí,95,36,"EPA de l'església de Sant Pere, construïda entre finals del XVI i inicis del XVII dC, amb la data de 1603 inscrita a la llinda",07/03/2017,"<MultiGeometry><Polygon><altitudeMode>clampToGround</altitudeMode><outerBoundaryIs><LinearRing><altitudeMode>clampToGround</altitudeMode><coordinates>1.50192018998728,42.4627415795882 1.50191958858915,42.4627420594828 1.50187933166454,42.4627880491198 1.5018761939351,42.4627933380625 1.50187548062445,42.4627990905784 1.50187726520488,42.4628047141536 1.50188136386365,42.4628096295545 1.50188735443562,42.4628133304906 1.50193774065079,42.4628353998963 1.50194452021683,42.4628374239172 1.50195180592245,42.4628378641972 1.50195893900895,42.4628366809274 1.50196527451714,42.4628339810965 1.50197023960344,42.4628300088176 1.50201812055691,42.4627777178799 1.50202141504127,42.4627724535472 1.50202227646757,42.4627666866927 1.50202061532964,42.4627610165237 1.50201660422929,42.4627560322012 1.5020106599418,42.4627522516229 1.50195919611039,42.4627290042608 1.50195222671498,42.4627268706387 1.50194470955496,42.4627264211564 1.50193736808864,42.4627276990723 1.50193090886549,42.4627305813988 1.50192595352726,42.462734790738 1.50192018998728,42.4627415795882</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
