Name,Author,Parròquia,Link picture,Image source,Historical Periods,Geolocation,Date,Type,Link TripAdvisor,Link Culture,Link parròquia,Link vanderkrogt,Link AndorraLandArt,Link VisitAndorra
Tòtem de fusta ,Judit Gaset,Andorra la Vella,,,Contemporary,"42.5086172,1.5270184,713",,Sculpture,,,,,,
Santa Bàrbara,Manuel Cusachs,Ordino,http://www.manuelcusachs.cat/admin/fotos/1355051634.jpg,,Contemporary,"42.555528566619536, 1.529143519014383

",2004,Sculpture,,,,,,
"El festejador, les Moles del Prat Gran ",Joan Canal ,Encamp,http://www.encamp.ad/que-fer/cultura/itineraris-culturals/itinerari-d-encamp-i-vila/ImatgePrincipal_fitxa,,Contemporary,"42.5339367, 1.5783195",,Sculpture,,,,,,
Monòlit,Faust Campamà,Canillo,http://www.elperiodic.ad/img/750/750/6838,,Contemporary,"42.603717,  1.7117694",2011,Sculpture,,,,,,
Rellotge solar analemàtic,J. Travesset,Encamp,http://www.encamp.ad/que-fer/cultura/itineraris-culturals/itinerari-d-encamp-i-vila/2-rellotge-analematic-aeri.jpg/image_large,,Contemporary,"42.53429641436887, 1.577876935512563",,Sculpture,,,,,,
Constitución Andorra ,Emili Armengol,Andorra la Vella,https://s3.amazonaws.com/gs-waymarking-images/f23f26a0-923e-44da-8bba-989c9e443d58_d.jpg,,Contemporary,"42.506798, 1.520234",1993,Sculpture,,http://www.casadelavall.ad/en/una-casa-amb-historia?set_language=en,,,,
El Cub,Nerea Aixàs,Andorra la Vella,https://c1.staticflickr.com/3/2588/3972744480_2b3f1b02bd_b.jpg,,Contemporary,"42.505317, 1.527461",2006,Sculpture,,,,,,
"Casa de la terra i del foc - Ruta del Ferro
",Alberto i Carneiro,Ordino,http://andorralandart.com/papaya/wp-content/uploads/2015/08/Captura-de-pantalla-2015-08-13-a-las-15.49.34.png,Andorra Land Art,Contemporary,"42.592379,1.527215",,Sculpture,,https://www.cultura.ad/contacta-ns/43-museus-i-monuments/386-cami-dels-traginers-ruta-del-ferro,,,http://andorralandart.com/en/events/casa-de-la-terra-i-del-foc/,
Les Vaques ,Toni Cruz,Canillo,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPtqGjys5kZRDyEcHhmwdSEOM85Mcl1yQVCCjgquEYT9mC94r4kGpAxQ,,Contemporary,"42.5672645,1.5988436",2015,Sculpture,,,,,http://andorralandart.com/en/les-vaques-de-toni-cruz-instal%C2%B7lades-al-costat-de-sant-joan-de-caselles/,
Endless - Ruta del Ferro ,Mark Brusse ,Ordino,http://andorralandart.com/papaya/wp-content/uploads/2015/08/ruta-del-ferro-a-ordino-llorts-la-cortinada-21-e1439806629173.jpg,Andorra Land Art,Contemporary,"42.594997740229715,1.527611911296845",,Sculpture,,,,,http://andorralandart.com/events/endless/,
7 homes de ferro: La família Jordino - Ruta del Ferro ,Rachid Khimoune,Ordino,http://www.rutaspirineos.org/images/ruta-del-ferro-a-ordino-llorts-la-cortinada/666x425/ruta-del-ferro-a-ordino-llorts-la-cortinada-16.JPG,Rutas Pirineos,Contemporary,"42.594651,1.528075",,Sculpture,,https://www.cultura.ad/contacta-ns/43-museus-i-monuments/386-cami-dels-traginers-ruta-del-ferro,,,http://andorralandart.com/events/familia-jordino/,
Gran carro de foc i pic - Ruta del Ferro,Jordi Casamajor ,Ordino,http://andorralandart.com/papaya/wp-content/uploads/2015/08/ruta-del-ferro-a-ordino-llorts-la-cortinada-23-e1439806655761.jpg,Andorra Land Art,Contemporary,"42.59430580376235, 1.5273624957008",,Sculpture,,https://www.cultura.ad/contacta-ns/43-museus-i-monuments/386-cami-dels-traginers-ruta-del-ferro,,,http://andorralandart.com/events/gran-carro-de-ferro-i-pic/,
L'home de ferro talp que camina - Ruta del Ferro ,Guy de Rougemont ,Ordino,http://andorralandart.com/papaya/wp-content/uploads/2015/08/ruta-del-ferro-a-ordino-llorts-la-cortinada-26-e1439806203651.jpg,Andorra Land Art,Contemporary,"42.591992,1.527054",,Sculpture,,https://www.cultura.ad/contacta-ns/43-museus-i-monuments/386-cami-dels-traginers-ruta-del-ferro,,,http://andorralandart.com/events/lhome-de-ferro-talp-que-camina/,
