Name,Author,Parròquia,Link picture,Image source,Historical Periods,Geolocation,Date,Type,Link TripAdvisor,Link Culture,Link parròquia,Link vanderkrogt,Link AndorraLandArt,Link VisitAndorra
Mobili 2001,Miquel Barceló,Andorra la Vella,https://www.bondia.ad/images/stories/2013/GEN/15gen/p.%2014%20alts%20escultura%20barcel%20i%20valds%20tati.jpg,Diari Bondia Andorra,Contemporary,"42.5061318,1.5224933,17",2001,Sculpture,https://www.tripadvisor.com/Attraction_Review-g190392-d10670004-Reviews-Mobili_de_Miquel_Barcelo-Andorra_la_Vella_Andorra_la_Vella_Parish.html,,,,http://andorralandart.com/events/mobili/,
Estructures autogeneradores,Jorge Dubon ,Canillo,http://static.panoramio.com/photos/original/56051447.jpg,Panoramio,Contemporary,"42.5690856,1.5877665",1991,Sculpture,,https://www.cultura.ad/museus-i-monuments/itineraris/les-escultures-contemporanies,,,http://andorralandart.com/events/self-generative-structures/,
Robot en suspensió,Paul Van Hoeydonck ,Andorra la Vella,http://turisme.andorralavella.ad/sites/default/files/itinerari/paul%20van%20hoeydonk_%20robot%20en%20suspensió_02.JPG,Turisme Andorra la Vella,Contemporary,"42.5059968, 1.5232547",,Sculpture,,https://www.cultura.ad/museus-i-monuments/itineraris/les-escultures-contemporanies,,,http://andorralandart.com/events/suspension-robot/,
"Terra, ferro, agita i foc - Ruta del Ferro ",Satoru Satu,Ordino,http://andorralandart.com/papaya/wp-content/uploads/2015/08/Captura-de-pantalla-2015-08-13-a-las-15.38.24.png,,Contemporary,"42.59117099379784, 1.526029407978058",,Sculpture,,https://www.cultura.ad/contacta-ns/43-museus-i-monuments/386-cami-dels-traginers-ruta-del-ferro,,,http://andorralandart.com/events/terra-ferro-aigua-i-foc/,
7e Centenari de la signatura dels pareatges,Luigi Teruggi,Andorra la Vella,http://vanderkrogt.net/statues/Foto/ad/ad023.jpg,Van der Krogt,Contemporary,"42.506481, 1.520448"," 

1978",Sculpture,,http://www.casadelavall.ad/en/una-casa-amb-historia?set_language=en,,http://statues.vanderkrogt.net/object.php?record=ad023,,
Tardejant ,Mercè Ciaurriz,Escaldes-Engordany,https://mciaurriz.files.wordpress.com/2014/06/tardejant-iv-150-x-150.jpg,,Contemporary,"42.512680, 1.535420",2007,Sculpture,,,,http://vanderkrogt.net/statues/object.php?webpage=ST&record=ad009,,
Sirena,Judith Gaset,Escaldes-Engordany,http://vanderkrogt.net/statues/Foto/ad/ad011.jpg,Van Der Krogt,Contemporary,"42.511059, 1.539211",1995,Sculpture,,,,http://vanderkrogt.net/statues/object.php?webpage=ST&record=ad011,,
El Cruceiro ,?,Escaldes-Engordany,http://vanderkrogt.net/statues/Foto/ad/ad013.jpg,Van den Krogt,Contemporary,"42.510236, 1.539020",,Sculpture,,,,,http://vanderkrogt.net/statues/object.php?webpage=ST&record=ad013,
Nova reforma 1866,Josep Viladomat ,Andorra la Vella,http://vanderkrogt.net/statues/Foto/ad/ad022.jpg,,Contemporary,"42.506490, 1.520527",1966,Sculpture,,http://www.casadelavall.ad/en/una-casa-amb-historia,,http://vanderkrogt.net/statues/object.php?webpage=ST&record=ad022,,
Clio,Josep Maria Subirachs,Sant Julià de Lòria,http://www.santjulia.ad/images/turisme/punts-d-interes/punt_004_2.jpg,,Contemporary,"42.4657077, 1.4920124",1989,Sculpture,,,http://www.santjulia.ad/turisme-punts-d-interes/placa-calonge,,,
Ball de contrapàs ,Sergi Mas ,Andorra la Vella,http://us.123rf.com/450wm/anibaltrejo/anibaltrejo1501/anibaltrejo150100006/34981490-contrapas-sculpture-by-sergi-mas-at-andorra-la-vella.jpg?ver=6,,Contemporary,"42.5070492, 1.5211839",1977,Sculpture,,,,http://vanderkrogt.net/statues/object.php?webpage=ST&record=ad019,,http://visitandorra.com/en/culture/sculptures-and-fountains-in-andorra-la-vella/
Els 7 poetes,Jaume Plensa ,Andorra la Vella,https://www.bondia.ad/images/stories/2014/gen/plensa%20tati.jpg,Diari Bondia Andorra,Contemporary,"42.5061734, 1.5211736",2014,Sculpture,,,,,http://andorralandart.com/events/7-poetes/,http://visitandorra.com/en/culture/sculptures-and-fountains-in-andorra-la-vella/
La noblesse du temps ,Salvador Dali ,Andorra la Vella,http://andorralandart.com/papaya/wp-content/uploads/2015/08/4859992908_12b34de811_m.jpg,Andorra Land Art,Contemporary,"42.508752,1.5294338",1999,Sculpture,https://www.tripadvisor.com/Attraction_Review-g190392-d8638409-Reviews-La_Noblesse_du_Temps-Andorra_la_Vella_Andorra_la_Vella_Parish.html,,,,http://andorralandart.com/events/noblesse-du-temps/,http://visitandorra.com/en/culture/sculptures-and-fountains-in-andorra-la-vella/
Lloc Pagà,Michael Warren ,Encamp,https://pbs.twimg.com/media/B4qunIuIAAEQxhc.jpg,,Contemporary,"42.533857, 1.606048",1991,Sculpture,,https://www.cultura.ad/museus-i-monuments/itineraris/les-escultures-contemporanies,,,http://andorralandart.com/events/a-pagan-place/,http://visitandorra.com/en/culture/sculptures-and-fountains-in-encamp/
El Dallaire,Àngel Calvente ,Encamp,http://www.encamp.ad/que-fer/cultura/itineraris-culturals/itinerari-d-encamp-i-vila/13-el-dallaire.jpg/@@images/image/thumb,,Contemporary,"42.533609, 1.573612",2007,Sculpture,,,http://www.encamp.ad/que-fer/cultura/itineraris-culturals/itinerari-d-encamp-i-vila,,,http://visitandorra.com/en/culture/sculptures-and-fountains-in-encamp/
"Pep, Iu, Ton, Meritxell, Romà, Anna, Pau, Carles, Eugènia..., i els altres ",Erik Dietman,Escaldes-Engordany,http://andorralandart.com/papaya/wp-content/uploads/2015/08/21349841.jpg,Andorra Land Art,Contemporary,"42.503861, 1.552139",,Sculpture,,https://www.cultura.ad/museus-i-monuments/itineraris/les-escultures-contemporanies,,,http://andorralandart.com/events/pep-iu-ton-meritxell-roma-anna-pau-carles-eugenia-i-els-altres/,http://visitandorra.com/en/culture/sculptures-and-fountains-in-escaldes-engordany/
Arnaldeta de Caboet,Sergi Mas ,Escaldes-Engordany,https://upload.wikimedia.org/wikipedia/commons/2/2c/Sergi_Mas_amb_la_seva_obra_Arnaldeta_de_Caboet_%28Prat_del_Roure%2C_Escaldes_Engordany%29.jpg,David Mas Canalís,Contemporary,"42.509462,1.536235",2007,Sculpture,,,,http://vanderkrogt.net/statues/object.php?webpage=LE&record=ad007,,http://visitandorra.com/en/culture/sculptures-and-fountains-in-escaldes-engordany/
Nu de joventut,Josep Viladomat ,Escaldes-Engordany,http://vanderkrogt.net/statues/Foto/ad/ad012.jpg,Van der Krogt,Contemporary,"42.510814, 1.539284",2009 ,Sculpture,,,,http://vanderkrogt.net/statues/object.php?webpage=ST&record=ad012,,http://visitandorra.com/en/culture/sculptures-and-fountains-in-escaldes-engordany/
L'homenatge a l'Esbart Santa Anna , Ricard Linde,Escaldes-Engordany,http://www.vanderkrogt.net/statues/Foto/ad/ad004.jpg,Van der Krogt,Contemporary,"42.51090714455374, 1.54202178406149",2010,Sculpture,,,,http://www.vanderkrogt.net/statues/object.php?record=ad004&webpage=ST,,http://visitandorra.com/en/culture/sculptures-and-fountains-in-escaldes-engordany/
El petó guanyador ,Jean-Louis Toutain,Escaldes-Engordany,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTyBPsH8PIvIYlj6zk3yjgeG_rhygTY0_CymH7XTfLXpd0ZgI8BBw,,Contemporary,"42.51001161741911, 1.548243463039398",2006,Sculpture,,,,http://vanderkrogt.net/statues/object.php?webpage=ST&record=ad005,,http://visitandorra.com/en/culture/sculptures-and-fountains-in-escaldes-engordany/
Fundació del Consell de la Terra,Sergi Mas ,Escaldes-Engordany,http://vanderkrogt.net/statues/Foto/ad/ad006.jpg,Van der Krogt,Contemporary,"42.509411, 1.536727",2007,Sculpture,,,,http://vanderkrogt.net/statues/object.php?webpage=ST&record=ad006,,http://visitandorra.com/en/culture/sculptures-and-fountains-in-escaldes-engordany/
La Gran Fita ,Joan Canal ,La Massana,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQfXzhtAw-IbLKJl-UT6E63FfX7FnEvEKc3g1YAS6qFNvWD6H-T-f48Fbc,,Contemporary,"42.591832496691694, 1.443669497966766
",2014,Sculpture,https://www.tripadvisor.com/Attraction_Review-g190393-d10721452-Reviews-La_Gran_Fita-Arinsal_La_Massana_Parish.html,,,,,http://visitandorra.com/en/culture/sculptures-and-fountains-in-la-massana/
Tempesta en una tassa de te,Dennis Oppenheim,La Massana,http://andorralandart.com/papaya/wp-content/uploads/2015/07/dennis.jpg,Andorra Land Art,Contemporary,"42.5520746, 1.4542991",1991,Sculpture,,https://www.cultura.ad/museus-i-monuments/itineraris/les-escultures-contemporanies,,,http://andorralandart.com/events/a-storm-in-a-teacup/,http://visitandorra.com/en/culture/sculptures-and-fountains-in-la-massana/
Fisicromia,Carlos Cruz-Díez,Sant Julià de Lòria,http://www.cruz-diez.com/media_files/image/product/large/Andorra2_hr_r.jpg,Carlos Cruz-Diez,Contemporary,"42.436257, 1.473512",1991,Sculpture,,https://www.cultura.ad/museus-i-monuments/itineraris/les-escultures-contemporanies,,,http://andorralandart.com/events/english-fisicromia-for-andorra/,http://visitandorra.com/en/culture/sculptures-and-fountains-in-sant-julia-de-loria/
Calidea i la Dama de gel,Philippe Lavaill i Angel Calvente,Escaldes-Engordany,http://farm5.static.flickr.com/4001/4240062485_9f13ed74d5.jpg,Lutz Meyer,Contemporary,"42.5099898,1.5337165",2001,Sculpture,,,,http://vanderkrogt.net/statues/object.php?webpage=ST&record=ad008,,http://visitandorra.com/en/culture/sculptures-and-fountains-in-escaldes-engordany/
Arcalís 91,Mauro Staccioli,Ordino,https://farm4.static.flickr.com/3837/15248008765_e3f2e7d7dc.jpg,Lutz Meyer,Contemporary,"42.6324695, 1.4958257",,Sculpture,,https://www.cultura.ad/museus-i-monuments/itineraris/les-escultures-contemporanies,,,http://andorralandart.com/events/arcalis-91/,http://visitandorra.com/en/culture/sculptures-and-fountains-in-ordino/
