Name,Latitude,Longitude,Parroquia,Tipus,Link Picture,Link to the inventory,Explore,Culture Guide,Link TripAdvisor,Facebook
Romanesque Andorra Interpretation Centre,42.5458405,1.475115,La Massana,museum,http://www.cultura.ad/images/stories/Patrimoni/Museus/AndorraRomanica3.jpg,http://www.cultura.ad/museus-i-monuments/museus/centre-d-interpretacio-andorra-romanica,"https://www.google.com/maps/place/Centre+d'Interpretaci%C3%B3+del+Rom%C3%A0nic+a+Andorra/@42.5457696,1.4750545,3a,75y,6.67h,90t/data=!3m6!1e1!3m4!1sVjHqWfhutrMAAAQfCMeJ8A!2e0!7i13312!8i6656!4m5!3m4!1s0x0:0x3894acbc408a90c!8m2!3d42.5458405!4d1.475115!6m1!1e1?hl",http://visitandorra.com/content/download/148682/4007730/version/48/file/AF-EN-GUIA_CULTURA_WEB.pdf#page=43,https://www.tripadvisor.com/Attraction_Review-g2060980-d3573736-Reviews-Centre_D_interpretacio_Andorra_Romanica-Pal_La_Massana_Parish.html,
Casa Rull Museum,42.532366,1.514187,La Massana,museum,http://www.cultura.ad/images/stories/Patrimoni/Museus/CasaRull3.jpg,http://www.cultura.ad/museus-i-monuments/museus/museu-casa-rull,"https://www.google.ad/maps/place/Museu+Casa+Rull/@42.5323159,1.5141717,3a,75y,286.1h,78.87t/data=!3m6!1e1!3m4!1sMT1wPDKwvLMAAAQfCU_2_A!2e0!7i13312!8i6656!4m5!3m4!1s0x0:0xbf847508a7183873!8m2!3d42.532366!4d1.514187!6m1!1e1?hl",http://visitandorra.com/content/download/148682/4007730/version/48/file/AF-EN-GUIA_CULTURA_WEB.pdf#page=42,https://www.tripadvisor.com/Attraction_Review-g1941187-d2385101-Reviews-Museu_Casa_Rull-Sispony_La_Massana_Parish.html,
World Champions 99,42.508520,1.524564,Andorra la Vella,museum,http://m1.visitandorra.com/var/andorra/storage/images/www.andorra.ad/cultura/museu-world-champions/20334298-1-cat-ES/museu-world-champions_img_gallery_full_page.jpg,https://www.facebook.com/worldchampions99/,,,https://www.tripadvisor.com/Attraction_Review-g190392-d12072193-Reviews-World_Champions_99-Andorra_la_Vella_Andorra_la_Vella_Parish.html,
Roques al carrer Museum,42.5087649,1.5290432,Andorra la Vella,museum,http://turisme.andorralavella.ad/sites/default/files/_IBM1481.jpg,http://www.iea.ad/roques-al-carrer,,,https://www.tripadvisor.com/Attraction_Review-g190392-d10802593-Reviews-Museo_de_geologia_Roques_al_carrer-Andorra_la_Vella_Andorra_la_Vella_Parish.html,
"Comapedrosa Interpretation
Centre at Arinsal (CIC)",42.5719979,1.4840022,La Massana,museum,http://visitandorra.com/var/andorra/storage/images/www.andorra.ad/llocs-i-serveis/centre-d-interpretacio-del-comapedrosa-cic/19353740-14-cat-ES/centre-d-interpretacio-del-comapedrosa-cic_img_gallery_full_page.jpg,http://visitandorra.com/en/culture/comapedrosa-cic-interpretation-centre/,,http://visitandorra.com/content/download/148682/4007730/version/48/file/AF-EN-GUIA_CULTURA_WEB.pdf#page=44,https://www.tripadvisor.co.uk/Attraction_Review-g190393-d11803107-Reviews-Centro_de_Interpretacion_del_Comapedrosa-Arinsal_La_Massana_Parish.html,
Comic Museum,42.5466796,1.5141492,La Massana,museum,http://visitandorra.com/var/andorra/storage/images/www.andorra.ad/llocs-i-serveis/museu-del-comic/270001-58-cat-ES/museu-del-comic_img_gallery_full_page.jpg,http://visitandorra.com/ca/cultura/museu-del-comic/,,http://visitandorra.com/content/download/148682/4007730/version/48/file/AF-EN-GUIA_CULTURA_WEB.pdf#page=41,https://www.tripadvisor.com/Attraction_Review-g2385361-d2385103-Reviews-Museo_del_Comic-La_Massana_La_Massana_Parish.html,
Tobacco Museum,42.464506,1.491632,Sant Julià de Lòria,museum,http://www.cultura.ad/images/stories/Patrimoni/Museus/Botons/museu-tabac.jpg,http://www.museudeltabac.com/,"https://www.google.com/maps/@42.4645379,1.4915313,3a,75y,315h,90t/data=!3m8!1e1!3m6!1sj3OCY0TS9TIAAAGusisYoA!2e0!3e2!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3Dj3OCY0TS9TIAAAGusisYoA%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D315.4162%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656!6m1!1e1?hl",http://visitandorra.com/content/download/148682/4007730/version/48/file/AF-EN-GUIA_CULTURA_WEB.pdf#page=46,https://www.tripadvisor.com/Attraction_Review-g2385375-d2385106-Reviews-Tobacco_Museum-Sant_Julia_de_Loria_Sant_Julia_de_Loria_Parish.html,
Perfume Museum,42.5083992,1.5347271,Escaldes-Engordany,museum,http://m2.visitandorra.com/var/andorra/storage/images/www.andorra.ad/multimedia/galeria-multimedia/museus/museu-del-perfum/4495540-7-cat-ES/museu-del-perfum_img_gallery_full_page.jpg,http://www.museudelperfum.net/,"https://www.google.com/maps/place/Museu+del+Perfum/@42.5083381,1.5348551,3a,75y,40.73h,90t/data=!3m6!1e1!3m4!1svW8jPS_ZFdsAAAQfCLQXNA!2e0!7i13312!8i6656!4m5!3m4!1s0x0:0x978a35dcd65e8dd0!8m2!3d42.5083993!4d1.5347271!6m1!1e1?hl",http://visitandorra.com/content/download/148682/4007730/version/48/file/AF-EN-GUIA_CULTURA_WEB.pdf#page=48,https://www.tripadvisor.com/Attraction_Review-g190401-d2385118-Reviews-Perfume_Museum-Escaldes_Engordany_Escaldes_Engordany_Parish.html,
Escaldes-Engordany Centre of Art,42.50885,1.541166,Escaldes-Engordany,museum,http://www.ara.ad/2015/01/28/cultura/Lexposicio-Antologia-Centre-JD-ANA_1293480896_1241419_651x366.jpg,http://visitandorra.com/en/culture/escaldes-engordany-centre-of-art/,"https://www.google.com/maps/@42.5088121,1.5410974,3a,75y,298h,90t/data=!3m8!1e1!3m6!1sw2RRyNH_hp0AAAQfCQnVZA!2e0!3e2!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3Dw2RRyNH_hp0AAAQfCQnVZA%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D298.51831%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656!6m1!1e1?hl",http://visitandorra.com/content/download/148682/4007730/version/48/file/AF-EN-GUIA_CULTURA_WEB.pdf#page=47,https://www.tripadvisor.com/Attraction_Review-g190401-d2385114-Reviews-Centro_de_Arte_de_Escaldes_Engordany-Escaldes_Engordany_Escaldes_Engordany_Parish.html,
Museu Carmen Thyssen Andorra,42.508790,1.542080,Escaldes-Engordany,museum,http://museucarmenthyssenandorra.ad/app/uploads/2017/02/museu-05-740x493.jpg,http://museucarmenthyssenandorra.ad/,,,,https://www.facebook.com/cthyssenandorra/
